time,open,high,low,close,volume
1768698000,95074.5,95074.5,94828.5,94928.5,8936.0
1768701600,94937.5,95034.0,94833.5,94989.0,6527.0
1768705200,94991.0,95175.0,94981.0,95155.0,5137.0
1768708800,95155.0,95155.0,95035.0,95057.5,2862.0
1768712400,95057.5,95213.5,95016.0,95154.5,8076.0
1768716000,95155.0,95177.0,95110.5,95142.5,4507.0
1768719600,95142.5,95152.5,94984.5,94990.0,6627.0
1768723200,94990.0,95160.0,94980.5,95151.0,5851.0
1768726800,95150.0,95252.5,95116.0,95233.0,8386.0
1768730400,95233.5,95257.5,95050.0,95140.0,7713.0
1768734000,95139.5,95146.0,95034.5,95133.5,4756.0
1768737600,95135.5,95146.0,95044.5,95071.5,3660.0
1768741200,95071.5,95165.5,94853.0,95105.0,7216.0
1768744800,95105.0,95294.5,94890.0,94917.5,9577.0
1768748400,94910.5,95076.5,94873.0,95070.0,4009.0
1768752000,95072.0,95155.0,95024.5,95124.0,3750.0
1768755600,95124.0,95243.5,95094.5,95237.5,4544.0
1768759200,95227.0,95482.0,95136.5,95396.5,7125.0
1768762800,95418.0,95486.0,95281.5,95336.0,7447.0
1768766400,95312.0,95403.5,95245.0,95259.5,3036.0
1768770000,95273.0,95393.5,95240.5,95386.5,4623.0
1768773600,95386.0,95490.0,95354.5,95443.0,5889.0
1768777200,95442.5,95442.5,93559.5,93611.0,23776.0
1768780800,93608.0,93608.0,91985.0,92658.0,43468.0
1768784400,92586.0,92821.5,92187.5,92542.0,7628.0
1768788000,92528.5,92620.0,92337.5,92536.5,5260.0
1768791600,92529.0,92748.5,92450.5,92657.0,5446.0
1768795200,92623.0,92708.5,92459.5,92614.0,5293.0
1768798800,92643.5,92770.5,92455.0,92460.5,4902.0
1768802400,92480.5,92591.5,92347.0,92535.0,4369.0
1768806000,92545.5,92810.0,92510.0,92788.0,4276.0
1768809600,92788.0,93312.5,92651.5,93214.5,7424.0
1768813200,93200.5,93209.0,92888.5,93000.0,6136.0
1768816800,93000.0,93035.5,92837.0,93021.5,2988.0
1768820400,93021.5,93267.0,92917.0,93137.0,20262.0
1768824000,93137.0,93187.5,92964.0,93025.5,4471.0
1768827600,93026.0,93106.0,92750.5,92992.5,3184.0
1768831200,93000.0,93000.0,92670.5,92780.0,3457.0
1768834800,92779.0,93046.5,92779.0,93013.0,5817.0
1768838400,93026.0,93363.0,92947.5,93263.0,3450.0
1768842000,93279.5,93342.0,93110.0,93195.5,3826.0
1768845600,93197.5,93220.5,92888.5,93023.0,4617.0
1768849200,93023.0,93117.0,92948.5,93066.5,3628.0
1768852800,93141.0,93233.5,93057.5,93100.5,2022.0
1768856400,93147.5,93299.5,92965.5,92969.0,4559.0
1768860000,92981.5,93026.0,92528.0,92528.0,4382.0
1768863600,92568.0,92715.5,92150.5,92590.0,6562.0
1768867200,92586.5,92829.5,92320.5,92676.5,5489.0
1768870800,92666.0,92837.0,92479.5,92679.0,2421.0
1768874400,92693.5,92693.5,92330.5,92519.0,4475.0
1768878000,92516.0,92595.5,92224.0,92397.0,3585.0
1768881600,92392.0,92440.0,91973.5,92019.5,5880.0
1768885200,92037.0,92037.0,91261.0,91590.5,13277.0
1768888800,91571.0,91591.0,90744.0,90889.5,17211.0
1768892400,90890.0,91264.5,90821.0,91136.5,8992.0
1768896000,91136.5,91213.5,90654.5,91084.0,9245.0
1768899600,91065.5,91065.5,90861.0,91003.0,3913.0
1768903200,90970.5,91244.5,90959.5,91218.0,3381.0
1768906800,91218.0,91400.5,91174.5,91186.0,13689.0
1768910400,91188.0,91268.0,91026.5,91240.5,5248.0
1768914000,91215.0,91250.0,90755.0,90919.0,7135.0
1768917600,90943.5,91329.5,90235.0,90451.5,12516.0
1768921200,90475.0,90763.5,89877.0,90650.0,12639.0
1768924800,90644.5,90930.0,89990.0,90135.5,6250.0
